2019-06-27 11:20:17,860 INFO osmnx Configured osmnx
2019-06-27 11:20:22,444 INFO osmnx Converting node and edge attribute data types
2019-06-27 11:20:22,520 INFO osmnx Loaded graph with 1,389 nodes and 3,900 edges in 0.28 seconds from "outputs/soho.graphml"
2019-06-27 11:20:23,666 INFO osmnx Begin plotting the graph...
2019-06-27 11:20:23,791 INFO osmnx Created GeoDataFrame "unnamed_edges" from graph in 0.12 seconds
2019-06-27 11:20:23,998 INFO osmnx Drew the graph edges in 0.07 seconds
2019-06-27 11:20:24,268 INFO osmnx Showed the plot in 0.21 seconds
2019-06-27 11:20:42,802 INFO osmnx Found nearest node (25473288) to point (51.512319, -0.137327) in 0.01 seconds
2019-06-27 11:20:42,808 INFO osmnx Found nearest node (25473556) to point (51.51254, -0.13698) in 0.01 seconds
2019-06-27 11:20:42,815 INFO osmnx Found nearest node (734320209) to point (51.512648999999996, -0.13718) in 0.01 seconds
2019-06-27 11:20:42,822 INFO osmnx Found nearest node (25473556) to point (51.512692, -0.137052) in 0.01 seconds
2019-06-27 11:20:42,828 INFO osmnx Found nearest node (108072) to point (51.512957, -0.137695) in 0.01 seconds
2019-06-27 11:20:42,835 INFO osmnx Found nearest node (2784682598) to point (51.512765, -0.137533) in 0.01 seconds
2019-06-27 11:20:42,841 INFO osmnx Found nearest node (2784682598) to point (51.51278, -0.137419) in 0.01 seconds
2019-06-27 11:20:42,847 INFO osmnx Found nearest node (2784682598) to point (51.512726, -0.13736800000000002) in 0.01 seconds
2019-06-27 11:20:42,854 INFO osmnx Found nearest node (2784682598) to point (51.512681, -0.137325) in 0.01 seconds
2019-06-27 11:20:42,860 INFO osmnx Found nearest node (2784682613) to point (51.512914, -0.137531) in 0.01 seconds
2019-06-27 11:20:42,867 INFO osmnx Found nearest node (108072) to point (51.513046, -0.137562) in 0.01 seconds
2019-06-27 11:20:42,873 INFO osmnx Found nearest node (108072) to point (51.513073999999996, -0.137466) in 0.01 seconds
2019-06-27 11:20:42,880 INFO osmnx Found nearest node (108072) to point (51.513087, -0.13738599999999998) in 0.01 seconds
2019-06-27 11:20:42,886 INFO osmnx Found nearest node (25501289) to point (51.513121999999996, -0.13730599999999998) in 0.01 seconds
2019-06-27 11:20:42,893 INFO osmnx Found nearest node (25501289) to point (51.513187, -0.13708900000000002) in 0.01 seconds
2019-06-27 11:20:42,899 INFO osmnx Found nearest node (25501289) to point (51.513214000000005, -0.136996) in 0.01 seconds
2019-06-27 11:20:42,906 INFO osmnx Found nearest node (25501289) to point (51.513249, -0.13685899999999998) in 0.01 seconds
2019-06-27 11:20:42,913 INFO osmnx Found nearest node (25501289) to point (51.513271, -0.136778) in 0.01 seconds
2019-06-27 11:20:42,919 INFO osmnx Found nearest node (25473293) to point (51.5133, -0.136705) in 0.01 seconds
2019-06-27 11:20:42,926 INFO osmnx Found nearest node (25473293) to point (51.51316, -0.136493) in 0.01 seconds
2019-06-27 11:20:42,932 INFO osmnx Found nearest node (25473408) to point (51.513016, -0.13633) in 0.01 seconds
2019-06-27 11:20:42,938 INFO osmnx Found nearest node (25475478) to point (51.512921, -0.136424) in 0.01 seconds
2019-06-27 11:20:42,945 INFO osmnx Found nearest node (25475478) to point (51.512890000000006, -0.136523) in 0.01 seconds
2019-06-27 11:20:42,952 INFO osmnx Found nearest node (25475478) to point (51.512859000000006, -0.136599) in 0.01 seconds
2019-06-27 11:20:42,958 INFO osmnx Found nearest node (25475478) to point (51.51283, -0.136699) in 0.01 seconds
2019-06-27 11:20:42,964 INFO osmnx Found nearest node (25473556) to point (51.512782, -0.136819) in 0.01 seconds
